order_item_id,order_id,product_id,quantity,unit_price,discount,total_price
ITEM-0000064,ORD-000036,PROD-0079,8,729.24,0.0,5833.92
ITEM-0000065,ORD-000036,PROD-0031,7,349.7,0.0,2447.9
ITEM-0000066,ORD-000037,PROD-0188,1,592.89,0.1,533.6
ITEM-0000067,ORD-000037,PROD-0070,2,1554.16,0.0,3108.32
ITEM-0000068,ORD-000038,PROD-0145,1,596.1,0.0,596.1
ITEM-0000069,ORD-000039,PROD-0160,9,901.63,0.1,7303.2
ITEM-0000070,ORD-000040,PROD-0035,1,706.27,0.2,565.02
ITEM-0000071,ORD-000040,PROD-0154,2,1487.91,0.0,2975.82
ITEM-0000072,ORD-000040,PROD-0050,9,107.01,0.15,818.63
ITEM-0000073,ORD-000040,PROD-0175,2,875.37,0.05,1663.2
ITEM-0000074,ORD-000040,PROD-0032,1,463.63,0.1,417.27
ITEM-0000075,ORD-000041,PROD-0100,4,841.3,0.0,3365.2
ITEM-0000076,ORD-000042,PROD-0008,1,215.21,0.0,215.21
ITEM-0000077,ORD-000042,PROD-0192,7,715.59,0.05,4758.67
ITEM-0000078,ORD-000043,PROD-0057,9,69.09,0.0,621.81
ITEM-0000079,ORD-000044,PROD-0076,4,857.61,0.0,3430.44
ITEM-0000080,ORD-000044,PROD-0195,2,511.0,0.0,1022.0
ITEM-0000081,ORD-000044,PROD-0066,8,899.69,0.15,6117.89
ITEM-0000082,ORD-000045,PROD-0129,7,914.41,0.0,6400.87
ITEM-0000083,ORD-000045,PROD-0138,5,112.69,0.0,563.45
ITEM-0000084,ORD-000046,PROD-0012,2,988.65,0.0,1977.3
ITEM-0000085,ORD-000047,PROD-0098,8,429.45,0.1,3092.04
ITEM-0000086,ORD-000047,PROD-0048,3,762.45,0.05,2172.98
ITEM-0000087,ORD-000047,PROD-0042,7,621.11,0.0,4347.77
ITEM-0000088,ORD-000047,PROD-0180,9,245.04,0.0,2205.36
ITEM-0000089,ORD-000048,PROD-0087,1,370.37,0.0,370.37
ITEM-0000090,ORD-000048,PROD-0180,9,245.04,0.0,2205.36
ITEM-0000091,ORD-000049,PROD-0076,1,857.61,0.0,857.61
ITEM-0000092,ORD-000049,PROD-0161,9,961.84,0.0,8656.56
ITEM-0000093,ORD-000050,PROD-0192,2,715.59,0.0,1431.18
ITEM-0000094,ORD-000051,PROD-0049,6,423.93,0.0,2543.58
ITEM-0000095,ORD-000052,PROD-0033,8,621.87,0.0,4974.96
ITEM-0000096,ORD-000053,PROD-0096,2,224.97,0.0,449.94
ITEM-0000097,ORD-000053,PROD-0144,3,1281.79,0.0,3845.37
ITEM-0000098,ORD-000054,PROD-0010,10,199.56,0.2,1596.48
ITEM-0000099,ORD-000055,PROD-0172,1,91.68,0.05,87.1
ITEM-0000100,ORD-000055,PROD-0013,2,771.83,0.1,1389.29
ITEM-0000101,ORD-000056,PROD-0184,6,204.74,0.0,1228.44
ITEM-0000102,ORD-000057,PROD-0186,1,384.96,0.0,384.96
ITEM-0000103,ORD-000058,PROD-0152,8,214.69,0.1,1545.77
ITEM-0000104,ORD-000059,PROD-0041,2,394.03,0.0,788.06
ITEM-0000105,ORD-000059,PROD-0105,4,661.37,0.0,2645.48
ITEM-0000106,ORD-000060,PROD-0129,9,914.41,0.15,6995.24
ITEM-0000107,ORD-000061,PROD-0059,1,862.76,0.15,733.35
ITEM-0000108,ORD-000062,PROD-0195,7,511.0,0.0,3577.0
ITEM-0000109,ORD-000063,PROD-0149,8,460.24,0.0,3681.92
ITEM-0000110,ORD-000064,PROD-0151,2,505.68,0.0,1011.36
ITEM-0000111,ORD-000064,PROD-0044,4,184.33,0.1,663.59
ITEM-0000112,ORD-000064,PROD-0009,1,1200.74,0.0,1200.74
ITEM-0000113,ORD-000065,PROD-0029,8,760.34,0.0,6082.72
ITEM-0000114,ORD-000066,PROD-0185,4,1018.9,0.0,4075.6
ITEM-0000115,ORD-000067,PROD-0176,6,268.32,0.1,1448.93
ITEM-0000116,ORD-000068,PROD-0126,2,776.62,0.0,1553.24
ITEM-0000117,ORD-000068,PROD-0076,1,857.61,0.0,857.61
ITEM-0000118,ORD-000068,PROD-0073,5,47.18,0.05,224.1
ITEM-0000119,ORD-000069,PROD-0161,6,961.84,0.05,5482.49
ITEM-0000120,ORD-000069,PROD-0098,9,429.45,0.0,3865.05
ITEM-0000121,ORD-000070,PROD-0055,5,181.25,0.0,906.25
ITEM-0000122,ORD-000070,PROD-0188,8,592.89,0.0,4743.12
ITEM-0000123,ORD-000070,PROD-0050,5,107.01,0.0,535.05
ITEM-0000124,ORD-000070,PROD-0071,4,315.67,0.0,1262.68
ITEM-0000125,ORD-000071,PROD-0136,7,1240.2,0.1,7813.26
ITEM-0000126,ORD-000072,PROD-0018,3,751.27,0.2,1803.05
ITEM-0000127,ORD-000073,PROD-0115,2,854.46,0.0,1708.92
ITEM-0000128,ORD-000074,PROD-0163,4,825.48,0.1,2971.73
ITEM-0000129,ORD-000074,PROD-0085,1,452.17,0.15,384.34
ITEM-0000130,ORD-000074,PROD-0018,1,751.27,0.05,713.71
ITEM-0000131,ORD-000075,PROD-0173,10,172.76,0.0,1727.6
ITEM-0000132,ORD-000075,PROD-0005,7,448.69,0.0,3140.83
ITEM-0000133,ORD-000076,PROD-0046,3,772.87,0.0,2318.61
ITEM-0000134,ORD-000076,PROD-0067,6,539.18,0.0,3235.08
ITEM-0000135,ORD-000076,PROD-0140,9,1000.65,0.0,9005.85
ITEM-0000136,ORD-000076,PROD-0057,9,69.09,0.0,621.81
ITEM-0000137,ORD-000077,PROD-0198,6,606.19,0.1,3273.43
ITEM-0000138,ORD-000078,PROD-0113,8,1033.12,0.0,8264.96
ITEM-0000139,ORD-000079,PROD-0124,7,360.18,0.05,2395.2
ITEM-0000140,ORD-000079,PROD-0043,7,925.72,0.1,5832.04
ITEM-0000141,ORD-000080,PROD-0126,10,776.62,0.0,7766.2
ITEM-0000142,ORD-000081,PROD-0153,5,325.7,0.0,1628.5
ITEM-0000143,ORD-000081,PROD-0125,8,779.36,0.0,6234.88
ITEM-0000144,ORD-000082,PROD-0105,1,661.37,0.0,661.37
ITEM-0000145,ORD-000083,PROD-0103,4,210.56,0.05,800.13
ITEM-0000146,ORD-000083,PROD-0068,2,439.28,0.0,878.56
ITEM-0000147,ORD-000084,PROD-0035,9,706.27,0.0,6356.43
ITEM-0000148,ORD-000084,PROD-0107,1,1124.03,0.0,1124.03
ITEM-0000149,ORD-000084,PROD-0011,6,655.2,0.05,3734.64
ITEM-0000150,ORD-000085,PROD-0050,4,107.01,0.0,428.04
ITEM-0000151,ORD-000086,PROD-0137,4,587.49,0.1,2114.96
ITEM-0000152,ORD-000086,PROD-0126,10,776.62,0.0,7766.2
ITEM-0000153,ORD-000086,PROD-0157,7,304.89,0.0,2134.23
ITEM-0000154,ORD-000087,PROD-0104,3,1076.76,0.0,3230.28
ITEM-0000155,ORD-000087,PROD-0118,8,319.68,0.0,2557.44
ITEM-0000156,ORD-000087,PROD-0153,5,325.7,0.0,1628.5
ITEM-0000157,ORD-000087,PROD-0194,7,781.81,0.0,5472.67
ITEM-0000158,ORD-000088,PROD-0105,7,661.37,0.2,3703.67
ITEM-0000159,ORD-000089,PROD-0074,7,1280.38,0.0,8962.66
ITEM-0000160,ORD-000089,PROD-0047,3,321.68,0.0,965.04
ITEM-0000161,ORD-000089,PROD-0191,2,277.55,0.15,471.84
ITEM-0000162,ORD-000090,PROD-0179,6,754.83,0.0,4528.98
ITEM-0000163,ORD-000091,PROD-0135,10,751.38,0.0,7513.8
ITEM-0000164,ORD-000091,PROD-0161,2,961.84,0.0,1923.68
ITEM-0000165,ORD-000092,PROD-0009,9,1200.74,0.1,9725.99
ITEM-0000166,ORD-000093,PROD-0057,4,69.09,0.1,248.72
ITEM-0000167,ORD-000093,PROD-0095,3,78.23,0.05,222.96
ITEM-0000168,ORD-000094,PROD-0129,8,914.41,0.05,6949.52
ITEM-0000169,ORD-000094,PROD-0040,1,1101.28,0.0,1101.28
ITEM-0000170,ORD-000094,PROD-0172,1,91.68,0.2,73.34
ITEM-0000171,ORD-000095,PROD-0157,1,304.89,0.0,304.89
ITEM-0000172,ORD-000095,PROD-0138,5,112.69,0.1,507.11
ITEM-0000173,ORD-000095,PROD-0120,7,1270.45,0.0,8893.15
ITEM-0000174,ORD-000096,PROD-0036,7,564.0,0.0,3948.0
ITEM-0000175,ORD-000097,PROD-0034,7,561.33,0.0,3929.31
ITEM-0000176,ORD-000098,PROD-0004,2,364.85,0.0,729.7
ITEM-0000177,ORD-000098,PROD-0078,5,1521.79,0.0,7608.95
ITEM-0000178,ORD-000098,PROD-0062,6,1097.98,0.0,6587.88
ITEM-0000179,ORD-000099,PROD-0156,10,59.84,0.1,538.56
ITEM-0000180,ORD-000100,PROD-0017,1,353.0,0.0,353.0
ITEM-0000181,ORD-000101,PROD-0049,2,423.93,0.0,847.86
ITEM-0000182,ORD-000101,PROD-0095,2,78.23,0.0,156.46
ITEM-0000183,ORD-000101,PROD-0084,1,709.88,0.0,709.88
ITEM-0000184,ORD-000101,PROD-0010,8,199.56,0.0,1596.48
ITEM-0000185,ORD-000102,PROD-0152,10,214.69,0.0,2146.9
ITEM-0000186,ORD-000103,PROD-0146,8,694.88,0.05,5281.09
ITEM-0000187,ORD-000104,PROD-0139,8,40.73,0.0,325.84
ITEM-0000188,ORD-000104,PROD-0085,2,452.17,0.0,904.34
ITEM-0000189,ORD-000105,PROD-0069,5,788.63,0.0,3943.15
ITEM-0000190,ORD-000105,PROD-0103,1,210.56,0.0,210.56
ITEM-0000191,ORD-000105,PROD-0073,1,47.18,0.05,44.82
ITEM-0000192,ORD-000106,PROD-0174,5,550.7,0.1,2478.15
ITEM-0000193,ORD-000107,PROD-0095,10,78.23,0.0,782.3
ITEM-0000194,ORD-000107,PROD-0136,4,1240.2,0.2,3968.64
ITEM-0000195,ORD-000107,PROD-0143,9,223.45,0.0,2011.05
ITEM-0000196,ORD-000108,PROD-0122,9,758.35,0.0,6825.15
ITEM-0000197,ORD-000109,PROD-0004,2,364.85,0.15,620.24
ITEM-0000198,ORD-000110,PROD-0049,10,423.93,0.05,4027.34
ITEM-0000199,ORD-000110,PROD-0154,5,1487.91,0.15,6323.62
ITEM-0000200,ORD-000111,PROD-0014,10,100.48,0.0,1004.8
ITEM-0000201,ORD-000111,PROD-0110,1,96.97,0.05,92.12
ITEM-0000202,ORD-000112,PROD-0115,6,854.46,0.0,5126.76
ITEM-0000203,ORD-000113,PROD-0010,4,199.56,0.0,798.24
ITEM-0000204,ORD-000113,PROD-0002,2,119.88,0.0,239.76
ITEM-0000205,ORD-000114,PROD-0098,6,429.45,0.0,2576.7
ITEM-0000206,ORD-000114,PROD-0108,3,155.22,0.0,465.66
ITEM-0000207,ORD-000115,PROD-0024,1,517.32,0.0,517.32
ITEM-0000208,ORD-000115,PROD-0173,5,172.76,0.0,863.8
ITEM-0000209,ORD-000116,PROD-0145,10,596.1,0.15,5066.85
ITEM-0000210,ORD-000117,PROD-0054,10,151.46,0.0,1514.6
ITEM-0000211,ORD-000118,PROD-0167,9,431.28,0.0,3881.52
ITEM-0000212,ORD-000118,PROD-0009,1,1200.74,0.0,1200.74
ITEM-0000213,ORD-000118,PROD-0045,10,30.3,0.0,303.0
ITEM-0000214,ORD-000119,PROD-0194,5,781.81,0.0,3909.05
ITEM-0000215,ORD-000119,PROD-0140,10,1000.65,0.0,10006.5
ITEM-0000216,ORD-000120,PROD-0069,8,788.63,0.0,6309.04
ITEM-0000217,ORD-000120,PROD-0066,7,899.69,0.0,6297.83
ITEM-0000218,ORD-000121,PROD-0113,10,1033.12,0.0,10331.2
ITEM-0000219,ORD-000121,PROD-0064,9,300.46,0.0,2704.14
ITEM-0000220,ORD-000121,PROD-0141,8,374.68,0.1,2697.7
ITEM-0000221,ORD-000122,PROD-0043,4,925.72,0.0,3702.88
ITEM-0000222,ORD-000123,PROD-0017,2,353.0,0.0,706.0
ITEM-0000223,ORD-000124,PROD-0161,4,961.84,0.0,3847.36
ITEM-0000224,ORD-000125,PROD-0137,8,587.49,0.0,4699.92
ITEM-0000225,ORD-000126,PROD-0195,10,511.0,0.1,4599.0
ITEM-0000226,ORD-000126,PROD-0060,8,728.45,0.1,5244.84
ITEM-0000227,ORD-000126,PROD-0015,2,191.41,0.2,306.26
ITEM-0000228,ORD-000127,PROD-0001,7,679.6,0.2,3805.76
ITEM-0000229,ORD-000127,PROD-0086,7,597.77,0.1,3765.95
ITEM-0000230,ORD-000127,PROD-0063,10,781.32,0.05,7422.54
ITEM-0000231,ORD-000128,PROD-0072,9,843.53,0.0,7591.77
ITEM-0000232,ORD-000129,PROD-0089,5,624.98,0.0,3124.9
ITEM-0000233,ORD-000129,PROD-0135,2,751.38,0.05,1427.62
ITEM-0000234,ORD-000130,PROD-0194,7,781.81,0.1,4925.4
ITEM-0000235,ORD-000130,PROD-0051,7,807.64,0.0,5653.48
ITEM-0000236,ORD-000130,PROD-0034,2,561.33,0.05,1066.53
ITEM-0000237,ORD-000130,PROD-0017,3,353.0,0.0,1059.0
ITEM-0000238,ORD-000131,PROD-0139,4,40.73,0.0,162.92
ITEM-0000239,ORD-000132,PROD-0189,8,469.83,0.0,3758.64
ITEM-0000240,ORD-000133,PROD-0071,5,315.67,0.05,1499.43
ITEM-0000241,ORD-000133,PROD-0062,1,1097.98,0.0,1097.98
ITEM-0000242,ORD-000134,PROD-0136,8,1240.2,0.0,9921.6
ITEM-0000243,ORD-000135,PROD-0023,8,1154.6,0.2,7389.44
ITEM-0000244,ORD-000136,PROD-0040,10,1101.28,0.05,10462.16
ITEM-0000245,ORD-000136,PROD-0091,5,854.5,0.15,3631.62
ITEM-0000246,ORD-000136,PROD-0035,4,706.27,0.15,2401.32
ITEM-0000247,ORD-000137,PROD-0020,4,1173.88,0.0,4695.52
ITEM-0000248,ORD-000138,PROD-0034,3,561.33,0.0,1683.99
ITEM-0000249,ORD-000139,PROD-0079,6,729.24,0.0,4375.44
ITEM-0000250,ORD-000140,PROD-0151,7,505.68,0.0,3539.76
ITEM-0000251,ORD-000141,PROD-0162,3,512.39,0.0,1537.17
ITEM-0000252,ORD-000141,PROD-0133,4,1137.33,0.05,4321.85
ITEM-0000253,ORD-000142,PROD-0128,9,326.22,0.1,2642.38
ITEM-0000254,ORD-000142,PROD-0181,10,707.55,0.1,6367.95
ITEM-0000255,ORD-000142,PROD-0018,10,751.27,0.05,7137.06
ITEM-0000256,ORD-000142,PROD-0124,5,360.18,0.1,1620.81
ITEM-0000257,ORD-000143,PROD-0186,10,384.96,0.0,3849.6
ITEM-0000258,ORD-000144,PROD-0174,10,550.7,0.05,5231.65
ITEM-0000259,ORD-000144,PROD-0158,2,217.55,0.0,435.1
ITEM-0000260,ORD-000145,PROD-0100,10,841.3,0.0,8413.0
ITEM-0000261,ORD-000146,PROD-0005,8,448.69,0.0,3589.52
ITEM-0000262,ORD-000147,PROD-0132,1,204.54,0.2,163.63
ITEM-0000263,ORD-000147,PROD-0101,2,166.09,0.0,332.18
ITEM-0000264,ORD-000147,PROD-0027,5,590.54,0.2,2362.16
ITEM-0000265,ORD-000148,PROD-0043,3,925.72,0.0,2777.16
ITEM-0000266,ORD-000148,PROD-0191,7,277.55,0.0,1942.85
ITEM-0000267,ORD-000149,PROD-0102,3,107.15,0.0,321.45
ITEM-0000268,ORD-000150,PROD-0102,1,107.15,0.2,85.72
ITEM-0000269,ORD-000150,PROD-0073,4,47.18,0.0,188.72
ITEM-0000270,ORD-000151,PROD-0056,8,84.67,0.0,677.36
ITEM-0000271,ORD-000152,PROD-0166,1,1130.16,0.0,1130.16
ITEM-0000272,ORD-000152,PROD-0044,9,184.33,0.0,1658.97
ITEM-0000273,ORD-000153,PROD-0166,8,1130.16,0.0,9041.28
ITEM-0000274,ORD-000154,PROD-0041,9,394.03,0.0,3546.27
ITEM-0000275,ORD-000155,PROD-0192,3,715.59,0.2,1717.42
ITEM-0000276,ORD-000155,PROD-0058,2,297.96,0.0,595.92
ITEM-0000277,ORD-000155,PROD-0097,2,400.29,0.0,800.58
ITEM-0000278,ORD-000156,PROD-0114,7,869.1,0.05,5779.52
ITEM-0000279,ORD-000156,PROD-0045,1,30.3,0.0,30.3
ITEM-0000280,ORD-000156,PROD-0070,3,1554.16,0.0,4662.48
ITEM-0000281,ORD-000157,PROD-0119,1,412.68,0.05,392.05
ITEM-0000282,ORD-000158,PROD-0092,5,576.45,0.05,2738.14
ITEM-0000283,ORD-000159,PROD-0067,2,539.18,0.0,1078.36
ITEM-0000284,ORD-000160,PROD-0103,9,210.56,0.0,1895.04
ITEM-0000285,ORD-000160,PROD-0174,2,550.7,0.0,1101.4
ITEM-0000286,ORD-000160,PROD-0147,4,156.2,0.05,593.56
ITEM-0000287,ORD-000161,PROD-0196,6,1077.42,0.0,6464.52
ITEM-0000288,ORD-000162,PROD-0168,10,735.31,0.0,7353.1
ITEM-0000289,ORD-000162,PROD-0049,10,423.93,0.0,4239.3
ITEM-0000290,ORD-000163,PROD-0148,9,1251.12,0.0,11260.08
ITEM-0000291,ORD-000164,PROD-0057,10,69.09,0.0,690.9
ITEM-0000292,ORD-000165,PROD-0111,9,999.24,0.0,8993.16
ITEM-0000293,ORD-000165,PROD-0020,10,1173.88,0.0,11738.8
ITEM-0000294,ORD-000165,PROD-0093,8,138.88,0.0,1111.04
ITEM-0000295,ORD-000166,PROD-0135,3,751.38,0.0,2254.14
ITEM-0000296,ORD-000166,PROD-0175,2,875.37,0.15,1488.13
ITEM-0000297,ORD-000166,PROD-0105,2,661.37,0.05,1256.6
ITEM-0000298,ORD-000167,PROD-0042,8,621.11,0.0,4968.88
ITEM-0000299,ORD-000168,PROD-0148,1,1251.12,0.0,1251.12
ITEM-0000300,ORD-000168,PROD-0166,9,1130.16,0.0,10171.44
ITEM-0000301,ORD-000168,PROD-0173,9,172.76,0.0,1554.84
ITEM-0000302,ORD-000168,PROD-0146,10,694.88,0.0,6948.8
ITEM-0000303,ORD-000169,PROD-0164,5,114.52,0.0,572.6
ITEM-0000304,ORD-000170,PROD-0075,9,19.26,0.0,173.34
ITEM-0000305,ORD-000170,PROD-0117,1,119.46,0.0,119.46
ITEM-0000306,ORD-000170,PROD-0066,2,899.69,0.0,1799.38
ITEM-0000307,ORD-000170,PROD-0005,9,448.69,0.0,4038.21
ITEM-0000308,ORD-000171,PROD-0135,7,751.38,0.0,5259.66
ITEM-0000309,ORD-000172,PROD-0051,5,807.64,0.0,4038.2
ITEM-0000310,ORD-000172,PROD-0106,5,138.32,0.05,657.02
ITEM-0000311,ORD-000172,PROD-0058,9,297.96,0.0,2681.64
ITEM-0000312,ORD-000173,PROD-0082,3,98.38,0.05,280.38
ITEM-0000313,ORD-000173,PROD-0063,3,781.32,0.0,2343.96
ITEM-0000314,ORD-000174,PROD-0175,2,875.37,0.15,1488.13
ITEM-0000315,ORD-000175,PROD-0163,8,825.48,0.0,6603.84
ITEM-0000316,ORD-000176,PROD-0038,6,954.52,0.05,5440.76
ITEM-0000317,ORD-000177,PROD-0135,9,751.38,0.0,6762.42
ITEM-0000318,ORD-000178,PROD-0049,9,423.93,0.0,3815.37
ITEM-0000319,ORD-000179,PROD-0008,4,215.21,0.0,860.84
ITEM-0000320,ORD-000180,PROD-0047,10,321.68,0.0,3216.8
ITEM-0000321,ORD-000181,PROD-0079,8,729.24,0.05,5542.22
ITEM-0000322,ORD-000182,PROD-0007,9,131.9,0.0,1187.1
ITEM-0000323,ORD-000183,PROD-0187,6,1012.34,0.05,5770.34
ITEM-0000324,ORD-000184,PROD-0164,8,114.52,0.0,916.16
ITEM-0000325,ORD-000185,PROD-0078,1,1521.79,0.0,1521.79
ITEM-0000326,ORD-000186,PROD-0075,9,19.26,0.0,173.34
ITEM-0000327,ORD-000186,PROD-0175,3,875.37,0.0,2626.11
ITEM-0000328,ORD-000186,PROD-0103,1,210.56,0.0,210.56
ITEM-0000329,ORD-000187,PROD-0109,1,335.59,0.0,335.59
ITEM-0000330,ORD-000188,PROD-0135,5,751.38,0.1,3381.21
ITEM-0000331,ORD-000188,PROD-0021,9,290.42,0.0,2613.78
ITEM-0000332,ORD-000189,PROD-0138,1,112.69,0.0,112.69
ITEM-0000333,ORD-000189,PROD-0083,7,778.05,0.1,4901.71
ITEM-0000334,ORD-000190,PROD-0155,8,1239.15,0.0,9913.2
ITEM-0000335,ORD-000190,PROD-0044,6,184.33,0.0,1105.98
ITEM-0000336,ORD-000190,PROD-0016,8,1119.14,0.0,8953.12
ITEM-0000337,ORD-000191,PROD-0157,2,304.89,0.0,609.78
ITEM-0000338,ORD-000192,PROD-0074,3,1280.38,0.0,3841.14
ITEM-0000339,ORD-000193,PROD-0129,4,914.41,0.0,3657.64
ITEM-0000340,ORD-000193,PROD-0192,7,715.59,0.15,4257.76
ITEM-0000341,ORD-000193,PROD-0050,10,107.01,0.05,1016.6
ITEM-0000342,ORD-000194,PROD-0126,2,776.62,0.2,1242.59
ITEM-0000343,ORD-000195,PROD-0191,5,277.55,0.0,1387.75
ITEM-0000344,ORD-000196,PROD-0001,10,679.6,0.0,6796.0
ITEM-0000345,ORD-000196,PROD-0017,7,353.0,0.05,2347.45
ITEM-0000346,ORD-000197,PROD-0050,2,107.01,0.0,214.02
ITEM-0000347,ORD-000198,PROD-0150,2,1084.06,0.0,2168.12
ITEM-0000348,ORD-000199,PROD-0171,3,36.43,0.0,109.29
ITEM-0000349,ORD-000199,PROD-0082,9,98.38,0.0,885.42
ITEM-0000350,ORD-000199,PROD-0035,8,706.27,0.0,5650.16
ITEM-0000351,ORD-000199,PROD-0185,10,1018.9,0.1,9170.1
ITEM-0000352,ORD-000200,PROD-0180,5,245.04,0.0,1225.2
ITEM-0000353,ORD-000200,PROD-0151,3,505.68,0.0,1517.04
ITEM-0000354,ORD-000200,PROD-0050,10,107.01,0.2,856.08
ITEM-0000355,ORD-000201,PROD-0104,7,1076.76,0.0,7537.32
ITEM-0000356,ORD-000201,PROD-0090,9,529.93,0.0,4769.37
ITEM-0000357,ORD-000202,PROD-0156,9,59.84,0.0,538.56
ITEM-0000358,ORD-000203,PROD-0109,3,335.59,0.0,1006.77
ITEM-0000359,ORD-000204,PROD-0037,8,194.0,0.0,1552.0
ITEM-0000360,ORD-000205,PROD-0062,7,1097.98,0.0,7685.86
ITEM-0000361,ORD-000205,PROD-0163,10,825.48,0.1,7429.32
ITEM-0000362,ORD-000206,PROD-0093,8,138.88,0.05,1055.49
ITEM-0000363,ORD-000206,PROD-0033,1,621.87,0.1,559.68
ITEM-0000364,ORD-000206,PROD-0184,5,204.74,0.0,1023.7
ITEM-0000365,ORD-000207,PROD-0083,1,778.05,0.2,622.44
ITEM-0000366,ORD-000207,PROD-0037,10,194.0,0.1,1746.0
ITEM-0000367,ORD-000208,PROD-0068,6,439.28,0.0,2635.68
ITEM-0000368,ORD-000208,PROD-0160,4,901.63,0.0,3606.52
