order_id,customer_id,order_date,ship_mode,region,ship_date
ORD-000080,CUST-03599,2023-06-21,Standard Class,North,2023-06-27
ORD-000081,CUST-02393,2021-12-19,Standard Class,West,2021-12-23
ORD-000082,CUST-04113,2023-06-18,Standard Class,Central,2023-06-23
ORD-000083,CUST-02872,2022-02-25,Standard Class,South,2022-03-03
ORD-000084,CUST-02678,2021-09-28,First Class,South,2021-09-30
ORD-000085,CUST-01402,2022-01-28,First Class,South,2022-02-03
ORD-000086,CUST-00818,2022-11-02,Standard Class,East,2022-11-08
ORD-000087,CUST-01661,2022-05-13,Standard Class,West,2022-05-14
ORD-000088,CUST-04563,2022-08-09,Standard Class,North,2022-08-10
ORD-000089,CUST-04724,2022-09-16,Standard Class,North,2022-09-21
ORD-000090,CUST-02439,2022-04-30,Second Class,South,2022-05-01
ORD-000091,CUST-02984,2021-02-08,Standard Class,Central,2021-02-11
ORD-000092,CUST-01211,2021-06-26,Standard Class,Central,2021-06-27
ORD-000093,CUST-00600,2021-10-10,First Class,Central,2021-10-16
ORD-000094,CUST-01847,2022-02-17,Second Class,Central,2022-02-23
ORD-000095,CUST-01856,2021-05-28,Standard Class,North,2021-06-01
ORD-000096,CUST-01888,2022-09-26,Standard Class,North,2022-09-27
ORD-000097,CUST-00680,2022-09-16,Standard Class,West,2022-09-18
ORD-000098,CUST-03253,2022-11-29,Standard Class,North,2022-11-30
ORD-000099,CUST-01836,2022-12-12,Standard Class,West,2022-12-14
ORD-000100,CUST-04031,2022-02-16,First Class,West,2022-02-22
ORD-000101,CUST-02178,2021-02-09,First Class,East,2021-02-14
ORD-000102,CUST-00149,2022-02-10,First Class,North,2022-02-13
ORD-000103,CUST-01496,2023-06-30,Standard Class,Central,2023-07-04
ORD-000104,CUST-04914,2023-06-20,Second Class,South,2023-06-23
ORD-000105,CUST-01745,2021-12-06,Second Class,West,2021-12-09
ORD-000106,CUST-01647,2022-12-09,Standard Class,South,2022-12-14
ORD-000107,CUST-02996,2021-09-01,Standard Class,Central,2021-09-02
ORD-000108,CUST-01673,2021-02-20,Standard Class,West,2021-02-26
ORD-000109,CUST-01940,2023-02-03,Standard Class,West,2023-02-06
ORD-000110,CUST-00658,2022-05-02,First Class,North,2022-05-06
ORD-000111,CUST-03668,2023-08-01,Standard Class,East,2023-08-03
ORD-000112,CUST-01054,2021-10-03,Second Class,South,2021-10-09
ORD-000113,CUST-04072,2023-07-08,Standard Class,Central,2023-07-14
ORD-000114,CUST-00577,2022-01-17,First Class,East,2022-01-22
ORD-000115,CUST-03096,2021-01-21,Second Class,East,2021-01-26
ORD-000116,CUST-03032,2021-12-12,Same Day,North,2021-12-15
ORD-000117,CUST-04819,2023-04-18,Standard Class,West,2023-04-24
ORD-000118,CUST-04780,2023-03-24,First Class,Central,2023-03-30
ORD-000119,CUST-04838,2021-11-07,Standard Class,East,2021-11-08
ORD-000120,CUST-02973,2021-11-15,Second Class,East,2021-11-18
ORD-000121,CUST-03949,2021-10-15,Standard Class,South,2021-10-17
ORD-000122,CUST-02046,2023-05-14,Second Class,Central,2023-05-17
ORD-000123,CUST-03937,2022-05-19,Same Day,Central,2022-05-25
ORD-000124,CUST-02949,2023-05-29,Second Class,East,2023-05-30
ORD-000125,CUST-01628,2022-12-14,Second Class,West,2022-12-19
ORD-000126,CUST-01489,2022-12-03,Standard Class,Central,2022-12-07
ORD-000127,CUST-04146,2021-04-11,Standard Class,Central,2021-04-16
ORD-000128,CUST-04199,2023-09-23,Standard Class,South,2023-09-24
ORD-000129,CUST-04464,2023-06-09,Standard Class,South,2023-06-14
ORD-000130,CUST-00936,2021-08-22,First Class,South,2021-08-28
ORD-000131,CUST-03564,2021-05-18,First Class,West,2021-05-21
ORD-000132,CUST-03630,2021-11-04,First Class,West,2021-11-07
ORD-000133,CUST-01715,2023-09-25,Standard Class,Central,2023-09-28
ORD-000134,CUST-01803,2023-02-01,Standard Class,West,2023-02-04
ORD-000135,CUST-01421,2022-03-30,Standard Class,South,2022-03-31
ORD-000136,CUST-03592,2023-03-04,Second Class,West,2023-03-06
ORD-000137,CUST-03521,2023-04-26,Standard Class,Central,2023-04-29
ORD-000138,CUST-03312,2021-11-25,First Class,East,2021-11-30
ORD-000139,CUST-02306,2021-10-03,Standard Class,North,2021-10-04
ORD-000140,CUST-01996,2023-01-17,Standard Class,West,2023-01-23
ORD-000141,CUST-01968,2022-03-03,First Class,East,2022-03-04
ORD-000142,CUST-03715,2022-09-12,Same Day,Central,2022-09-16
ORD-000143,CUST-04036,2022-10-24,Second Class,East,2022-10-27
ORD-000144,CUST-04486,2021-04-02,Standard Class,East,2021-04-07
ORD-000145,CUST-04869,2021-07-12,Standard Class,East,2021-07-14
ORD-000146,CUST-03459,2022-03-29,Standard Class,South,2022-03-31
ORD-000147,CUST-00394,2021-08-05,Same Day,West,2021-08-11
ORD-000148,CUST-04779,2023-07-25,Standard Class,East,2023-07-30
ORD-000149,CUST-03731,2023-04-24,First Class,Central,2023-04-25
ORD-000150,CUST-04366,2022-02-21,First Class,North,2022-02-26
ORD-000151,CUST-04245,2023-01-29,First Class,North,2023-02-02
ORD-000152,CUST-04907,2022-05-12,Standard Class,North,2022-05-13
ORD-000153,CUST-00028,2023-02-17,Standard Class,South,2023-02-23
ORD-000154,CUST-03492,2022-06-13,Second Class,West,2022-06-17
ORD-000155,CUST-04262,2023-06-08,First Class,North,2023-06-10
ORD-000156,CUST-01174,2022-01-18,Same Day,South,2022-01-24
ORD-000157,CUST-00339,2023-04-21,Standard Class,Central,2023-04-24
ORD-000158,CUST-01069,2021-02-27,Second Class,Central,2021-03-03
ORD-000159,CUST-00842,2022-06-12,Standard Class,South,2022-06-17
ORD-000160,CUST-04285,2023-03-22,Standard Class,West,2023-03-25
ORD-000161,CUST-04747,2021-06-12,Second Class,Central,2021-06-14
ORD-000162,CUST-00294,2021-03-09,Standard Class,West,2021-03-14
ORD-000163,CUST-01858,2021-11-15,Standard Class,South,2021-11-19
ORD-000164,CUST-01323,2022-12-28,Standard Class,Central,2023-01-02
ORD-000165,CUST-01648,2022-06-03,Standard Class,Central,2022-06-06
ORD-000166,CUST-04899,2022-02-18,Standard Class,East,2022-02-23
ORD-000167,CUST-03621,2021-05-19,Standard Class,Central,2021-05-23
ORD-000168,CUST-04527,2023-03-11,Standard Class,North,2023-03-12
ORD-000169,CUST-03095,2023-05-22,Same Day,East,2023-05-28
ORD-000170,CUST-03492,2022-06-21,First Class,South,2022-06-23
ORD-000171,CUST-03496,2023-06-20,First Class,North,2023-06-22
ORD-000172,CUST-04583,2022-08-06,Standard Class,North,2022-08-09
ORD-000173,CUST-03802,2021-01-30,Standard Class,West,2021-02-04
ORD-000174,CUST-00089,2021-06-27,First Class,East,2021-07-02
ORD-000175,CUST-04367,2021-07-17,Standard Class,West,2021-07-21
ORD-000176,CUST-01957,2023-06-16,Standard Class,East,2023-06-18
ORD-000177,CUST-00900,2023-05-03,Standard Class,East,2023-05-05
ORD-000178,CUST-03478,2021-07-25,Standard Class,North,2021-07-28
ORD-000179,CUST-01745,2023-05-08,First Class,Central,2023-05-10
ORD-000180,CUST-04374,2021-03-01,First Class,West,2021-03-05
ORD-000181,CUST-02254,2021-09-13,Same Day,West,2021-09-17
ORD-000182,CUST-03662,2021-02-03,First Class,North,2021-02-09
ORD-000183,CUST-02961,2022-04-13,Second Class,Central,2022-04-19
ORD-000184,CUST-01634,2021-02-21,Standard Class,East,2021-02-23
ORD-000185,CUST-00862,2023-07-30,Standard Class,East,2023-08-02
ORD-000186,CUST-04702,2022-01-05,Second Class,Central,2022-01-09
ORD-000187,CUST-01014,2022-12-23,Standard Class,East,2022-12-29
ORD-000188,CUST-03300,2021-07-23,First Class,West,2021-07-26
ORD-000189,CUST-01507,2021-10-08,Standard Class,West,2021-10-13
ORD-000190,CUST-03206,2022-01-13,Second Class,West,2022-01-15
ORD-000191,CUST-04804,2023-04-24,Second Class,North,2023-04-29
ORD-000192,CUST-00978,2022-04-21,Standard Class,East,2022-04-26
ORD-000193,CUST-03462,2022-06-02,Second Class,North,2022-06-04
ORD-000194,CUST-01818,2022-02-11,First Class,East,2022-02-16
ORD-000195,CUST-03685,2022-10-13,Second Class,West,2022-10-15
ORD-000196,CUST-04059,2023-08-04,Second Class,West,2023-08-10
ORD-000197,CUST-02635,2021-05-07,Standard Class,Central,2021-05-10
ORD-000198,CUST-04902,2022-11-29,First Class,East,2022-12-04
ORD-000199,CUST-04816,2021-02-01,Standard Class,South,2021-02-06
ORD-000200,CUST-03667,2021-09-05,First Class,North,2021-09-09
ORD-000201,CUST-00949,2022-01-17,First Class,West,2022-01-22
ORD-000202,CUST-00474,2022-05-16,Standard Class,Central,2022-05-17
ORD-000203,CUST-00568,2022-09-01,Same Day,Central,2022-09-07
ORD-000204,CUST-03433,2022-04-02,Same Day,West,2022-04-07
ORD-000205,CUST-04024,2021-07-01,Second Class,East,2021-07-06
ORD-000206,CUST-02259,2023-09-11,Second Class,Central,2023-09-15
ORD-000207,CUST-03145,2023-06-11,First Class,East,2023-06-12
ORD-000208,CUST-04311,2022-05-01,Standard Class,Central,2022-05-04
ORD-000209,CUST-04996,2022-08-24,First Class,North,2022-08-26
ORD-000210,CUST-01983,2022-07-19,Second Class,East,2022-07-24
ORD-000211,CUST-01097,2021-12-25,First Class,Central,2021-12-28
ORD-000212,CUST-03571,2021-12-19,Standard Class,West,2021-12-25
ORD-000213,CUST-03391,2021-06-17,Standard Class,South,2021-06-20
ORD-000214,CUST-02673,2023-05-08,First Class,West,2023-05-10
ORD-000215,CUST-03647,2023-07-05,Standard Class,East,2023-07-07
ORD-000216,CUST-02420,2021-09-22,Standard Class,West,2021-09-25
ORD-000217,CUST-04280,2023-02-06,Second Class,West,2023-02-07
ORD-000218,CUST-03349,2023-05-01,Standard Class,South,2023-05-05
ORD-000219,CUST-00674,2022-12-07,Standard Class,West,2022-12-10
ORD-000220,CUST-02803,2021-04-03,Standard Class,Central,2021-04-09
ORD-000221,CUST-02370,2021-10-19,Standard Class,North,2021-10-25
ORD-000222,CUST-04531,2021-01-29,Standard Class,South,2021-01-31
ORD-000223,CUST-01067,2022-01-31,Standard Class,East,2022-02-04
ORD-000224,CUST-00688,2021-02-20,Standard Class,Central,2021-02-22
ORD-000225,CUST-04984,2021-06-16,Second Class,East,2021-06-19
ORD-000226,CUST-00069,2023-05-25,Standard Class,South,2023-05-29
ORD-000227,CUST-02104,2022-08-09,Standard Class,South,2022-08-11
ORD-000228,CUST-00420,2023-03-10,Second Class,West,2023-03-12
ORD-000229,CUST-03999,2023-09-16,Standard Class,South,2023-09-22
ORD-000230,CUST-02598,2021-08-08,Standard Class,East,2021-08-09
ORD-000231,CUST-04339,2023-05-28,Standard Class,South,2023-05-30
ORD-000232,CUST-02125,2021-08-15,Standard Class,North,2021-08-20
ORD-000233,CUST-03893,2022-10-25,First Class,West,2022-10-28
ORD-000234,CUST-00440,2021-08-19,Standard Class,South,2021-08-24
ORD-000235,CUST-01287,2022-11-25,Standard Class,North,2022-11-28
ORD-000236,CUST-01209,2021-07-31,Standard Class,East,2021-08-01
ORD-000237,CUST-01079,2021-10-03,Same Day,East,2021-10-06
ORD-000238,CUST-02564,2022-10-30,Standard Class,North,2022-10-31
ORD-000239,CUST-03624,2022-02-24,Standard Class,North,2022-03-02
ORD-000240,CUST-01254,2022-06-10,First Class,South,2022-06-16
ORD-000241,CUST-03358,2021-01-21,Standard Class,West,2021-01-25
ORD-000242,CUST-03210,2023-06-05,Second Class,West,2023-06-10
ORD-000243,CUST-03550,2023-03-11,Standard Class,Central,2023-03-17
ORD-000244,CUST-00615,2023-09-18,Standard Class,North,2023-09-23
ORD-000245,CUST-03079,2023-02-25,Standard Class,East,2023-02-26
ORD-000246,CUST-02724,2022-11-30,Standard Class,Central,2022-12-05
ORD-000247,CUST-03491,2021-01-10,Standard Class,North,2021-01-15
ORD-000248,CUST-03544,2022-05-01,First Class,North,2022-05-02
ORD-000249,CUST-04516,2023-07-23,Standard Class,Central,2023-07-24
ORD-000250,CUST-01901,2021-05-16,Second Class,West,2021-05-18
ORD-000251,CUST-04372,2022-10-25,Standard Class,North,2022-10-30
ORD-000252,CUST-01713,2021-06-27,First Class,Central,2021-07-02
ORD-000253,CUST-02330,2022-09-08,Same Day,South,2022-09-12
ORD-000254,CUST-03620,2023-04-01,Standard Class,South,2023-04-06
ORD-000255,CUST-01195,2021-01-09,Standard Class,East,2021-01-10
ORD-000256,CUST-04907,2021-08-18,Second Class,West,2021-08-21
ORD-000257,CUST-01379,2021-09-16,Standard Class,Central,2021-09-18
ORD-000258,CUST-01313,2022-09-15,Second Class,West,2022-09-16
ORD-000259,CUST-02916,2023-04-05,First Class,West,2023-04-08
ORD-000260,CUST-00750,2023-08-24,Standard Class,Central,2023-08-30
ORD-000261,CUST-00301,2021-11-09,First Class,North,2021-11-15
ORD-000262,CUST-04696,2022-12-31,Standard Class,South,2023-01-05
ORD-000263,CUST-03983,2023-09-18,Standard Class,East,2023-09-19
ORD-000264,CUST-04625,2022-12-28,Standard Class,North,2023-01-02
ORD-000265,CUST-03838,2022-10-21,Standard Class,West,2022-10-25
ORD-000266,CUST-00278,2021-10-09,Standard Class,West,2021-10-13
ORD-000267,CUST-04759,2022-03-10,Standard Class,Central,2022-03-12
ORD-000268,CUST-02559,2023-07-06,Second Class,South,2023-07-09
ORD-000269,CUST-03918,2022-01-21,Standard Class,South,2022-01-22
ORD-000270,CUST-02162,2023-05-23,Standard Class,East,2023-05-25
ORD-000271,CUST-04676,2021-12-24,Standard Class,North,2021-12-29
ORD-000272,CUST-01390,2022-04-16,Standard Class,East,2022-04-17
ORD-000273,CUST-00691,2021-09-16,Second Class,West,2021-09-17
ORD-000274,CUST-04733,2021-08-12,Standard Class,West,2021-08-17
ORD-000275,CUST-03469,2022-04-23,Second Class,South,2022-04-25
ORD-000276,CUST-01849,2021-11-06,Standard Class,West,2021-11-08
ORD-000277,CUST-04919,2022-11-25,First Class,North,2022-11-29
ORD-000278,CUST-04971,2022-06-18,Standard Class,North,2022-06-19
ORD-000279,CUST-03817,2023-04-25,Second Class,East,2023-04-27
ORD-000280,CUST-00940,2022-10-01,Standard Class,North,2022-10-02
ORD-000281,CUST-03183,2022-02-11,Standard Class,West,2022-02-15
ORD-000282,CUST-03310,2022-08-22,Second Class,Central,2022-08-25
ORD-000283,CUST-02051,2021-04-15,Second Class,South,2021-04-18
ORD-000284,CUST-01747,2021-01-08,Standard Class,South,2021-01-12
ORD-000285,CUST-02452,2022-06-08,First Class,South,2022-06-14
ORD-000286,CUST-00025,2022-11-10,Second Class,Central,2022-11-11
ORD-000287,CUST-02557,2023-09-17,Standard Class,West,2023-09-19
ORD-000288,CUST-00061,2023-05-14,Standard Class,North,2023-05-16
ORD-000289,CUST-00123,2023-05-10,Standard Class,West,2023-05-16
ORD-000290,CUST-02103,2022-01-19,Standard Class,East,2022-01-25
ORD-000291,CUST-01187,2022-07-29,Standard Class,West,2022-08-03
ORD-000292,CUST-01731,2022-10-25,Standard Class,West,2022-10-31
ORD-000293,CUST-04642,2022-09-01,Standard Class,South,2022-09-03
ORD-000294,CUST-04090,2022-09-16,Standard Class,West,2022-09-17
ORD-000295,CUST-02473,2021-10-17,Standard Class,Central,2021-10-18
ORD-000296,CUST-02966,2021-11-02,Standard Class,South,2021-11-06
ORD-000297,CUST-02278,2022-12-02,Standard Class,East,2022-12-07
ORD-000298,CUST-04088,2021-04-21,Standard Class,Central,2021-04-23
ORD-000299,CUST-02965,2022-05-09,Standard Class,Central,2022-05-10
ORD-000300,CUST-01311,2021-03-07,Second Class,East,2021-03-08
ORD-000301,CUST-00155,2021-12-11,Same Day,North,2021-12-14
ORD-000302,CUST-02213,2021-10-11,Standard Class,West,2021-10-12
ORD-000303,CUST-03254,2022-10-18,Standard Class,West,2022-10-24
ORD-000304,CUST-01263,2021-11-29,Second Class,North,2021-12-04
ORD-000305,CUST-01363,2023-06-02,Standard Class,East,2023-06-04
ORD-000306,CUST-00938,2021-10-11,Standard Class,North,2021-10-14
ORD-000307,CUST-00512,2021-09-25,Standard Class,South,2021-09-26
ORD-000308,CUST-00187,2022-11-03,Standard Class,South,2022-11-08
ORD-000309,CUST-01846,2022-12-30,Standard Class,South,2023-01-03
ORD-000310,CUST-01703,2023-09-03,Same Day,North,2023-09-05
ORD-000311,CUST-00391,2023-07-03,Standard Class,Central,2023-07-07
ORD-000312,CUST-00655,2022-10-30,Second Class,South,2022-11-04
ORD-000313,CUST-04272,2021-11-02,Standard Class,North,2021-11-06
ORD-000314,CUST-02822,2021-07-12,Standard Class,South,2021-07-18
ORD-000315,CUST-00764,2021-06-03,Standard Class,South,2021-06-05
ORD-000316,CUST-03401,2022-06-14,First Class,West,2022-06-19
ORD-000317,CUST-04807,2023-02-23,Standard Class,North,2023-02-24
ORD-000318,CUST-03268,2021-09-04,Standard Class,West,2021-09-08
ORD-000319,CUST-01086,2023-07-11,Standard Class,East,2023-07-14
ORD-000320,CUST-01930,2021-02-28,Standard Class,South,2021-03-04
ORD-000321,CUST-04377,2023-04-05,Standard Class,South,2023-04-10
ORD-000322,CUST-01964,2023-05-28,Second Class,West,2023-05-31
ORD-000323,CUST-01786,2023-04-02,Standard Class,North,2023-04-07
ORD-000324,CUST-02275,2023-04-10,Standard Class,Central,2023-04-15
ORD-000325,CUST-02687,2022-09-07,First Class,Central,2022-09-10
ORD-000326,CUST-02969,2022-02-18,Second Class,East,2022-02-23
ORD-000327,CUST-04573,2022-11-08,Standard Class,North,2022-11-11
ORD-000328,CUST-00716,2021-11-24,Second Class,North,2021-11-25
ORD-000329,CUST-00243,2022-11-29,Standard Class,West,2022-12-04
ORD-000330,CUST-03916,2021-05-24,Second Class,South,2021-05-25
ORD-000331,CUST-01524,2023-01-09,Standard Class,South,2023-01-11
ORD-000332,CUST-00838,2021-01-27,Standard Class,North,2021-01-31
ORD-000333,CUST-03324,2022-11-03,Second Class,Central,2022-11-04
ORD-000334,CUST-02954,2022-05-25,Standard Class,East,2022-05-29
ORD-000335,CUST-01346,2021-10-30,Standard Class,West,2021-11-02
ORD-000336,CUST-02424,2021-09-23,Standard Class,North,2021-09-25
ORD-000337,CUST-02029,2023-07-18,Standard Class,East,2023-07-21
ORD-000338,CUST-01433,2022-03-05,Second Class,North,2022-03-10
ORD-000339,CUST-00240,2022-02-19,Standard Class,East,2022-02-25
ORD-000340,CUST-00139,2022-02-02,Standard Class,East,2022-02-06
ORD-000341,CUST-03194,2023-01-25,Second Class,South,2023-01-31
ORD-000342,CUST-00420,2021-02-06,Same Day,West,2021-02-09
ORD-000343,CUST-00304,2022-08-21,Standard Class,West,2022-08-25
ORD-000344,CUST-02163,2022-12-27,First Class,South,2023-01-01
ORD-000345,CUST-02027,2022-08-09,Standard Class,Central,2022-08-15
ORD-000346,CUST-04103,2023-04-16,Second Class,West,2023-04-21
ORD-000347,CUST-02227,2021-07-14,First Class,South,2021-07-20
ORD-000348,CUST-01169,2021-12-18,Second Class,East,2021-12-22
ORD-000349,CUST-00416,2023-01-14,First Class,East,2023-01-16
ORD-000350,CUST-02714,2023-01-01,Standard Class,West,2023-01-05
ORD-000351,CUST-00150,2021-08-16,Standard Class,East,2021-08-20
ORD-000352,CUST-02445,2022-12-04,Standard Class,West,2022-12-07
ORD-000353,CUST-00839,2022-07-02,First Class,North,2022-07-06
ORD-000354,CUST-01697,2022-10-16,First Class,South,2022-10-18
ORD-000355,CUST-04340,2023-03-15,Standard Class,Central,2023-03-17
ORD-000356,CUST-01911,2022-05-03,Standard Class,West,2022-05-09
ORD-000357,CUST-01422,2023-07-18,First Class,Central,2023-07-22
ORD-000358,CUST-04975,2023-08-22,Standard Class,South,2023-08-23
ORD-000359,CUST-03002,2022-11-19,Second Class,South,2022-11-25
ORD-000360,CUST-01321,2022-01-03,First Class,North,2022-01-09
ORD-000361,CUST-04036,2022-06-04,Standard Class,South,2022-06-08
ORD-000362,CUST-01524,2021-11-04,Standard Class,East,2021-11-07
ORD-000363,CUST-03879,2023-05-16,First Class,Central,2023-05-17
ORD-000364,CUST-00553,2021-06-24,Standard Class,South,2021-06-29
ORD-000365,CUST-03757,2023-05-11,Standard Class,South,2023-05-16
ORD-000366,CUST-03672,2022-11-05,Standard Class,Central,2022-11-06
ORD-000367,CUST-00482,2023-06-17,Standard Class,Central,2023-06-23
ORD-000368,CUST-00600,2022-07-26,Standard Class,North,2022-07-30
ORD-000369,CUST-01165,2021-07-05,Second Class,South,2021-07-10
ORD-000370,CUST-04679,2021-10-28,Same Day,East,2021-10-31
ORD-000371,CUST-04233,2021-04-10,Standard Class,East,2021-04-15
ORD-000372,CUST-01004,2022-04-28,Second Class,North,2022-05-01
ORD-000373,CUST-01983,2021-05-12,Standard Class,South,2021-05-13
ORD-000374,CUST-01635,2023-01-29,Standard Class,Central,2023-02-01
ORD-000375,CUST-02998,2021-09-22,Standard Class,East,2021-09-24
ORD-000376,CUST-00687,2023-01-13,Same Day,South,2023-01-15
ORD-000377,CUST-03415,2023-04-08,First Class,North,2023-04-10
ORD-000378,CUST-01760,2022-07-27,Standard Class,North,2022-07-29
ORD-000379,CUST-04938,2023-02-21,Standard Class,Central,2023-02-22
ORD-000380,CUST-02481,2023-07-24,First Class,North,2023-07-27
ORD-000381,CUST-01338,2021-07-07,Standard Class,North,2021-07-13
ORD-000382,CUST-00115,2023-08-28,Second Class,North,2023-09-01
ORD-000383,CUST-03958,2022-11-28,Standard Class,East,2022-11-30
ORD-000384,CUST-00569,2023-07-11,Second Class,Central,2023-07-13
ORD-000385,CUST-01554,2021-12-10,Standard Class,Central,2021-12-15
ORD-000386,CUST-02690,2022-11-02,Standard Class,Central,2022-11-04
ORD-000387,CUST-04591,2021-04-02,First Class,North,2021-04-06
ORD-000388,CUST-03341,2021-08-16,Standard Class,North,2021-08-20
ORD-000389,CUST-02989,2021-12-30,Standard Class,East,2022-01-05
ORD-000390,CUST-03152,2021-08-17,Standard Class,North,2021-08-22
ORD-000391,CUST-03528,2023-02-02,Standard Class,East,2023-02-08
